"class","class_full","comment","added_attributes","added_attributes_full","commentdelatt","deleted_attributes","deleted_attributes_full","commentdelatt","reference_version","target_version"
"epo-ord:DeliveryInformation","http://data.europa.eu/a4g/ontology#DeliveryInformation","","epo-ord:hasDeliveryDeadline","http://data.europa.eu/a4g/ontology#hasDeliveryDeadline","","","","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","http://data.europa.eu/a4g/ontology#Order","","epo-ord:hasCustomerReference","http://data.europa.eu/a4g/ontology#hasCustomerReference","","","","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","http://data.europa.eu/a4g/ontology#Order","","epo-ord:hasAccountingCost","http://data.europa.eu/a4g/ontology#hasAccountingCost","","","","","3.1.0","4.0.0-rc.1"
"epo-ord:Order","http://data.europa.eu/a4g/ontology#Order","","epo-ord:hasPaymentTerm","http://data.europa.eu/a4g/ontology#hasPaymentTerm","","","","","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceChargeInformation","http://data.europa.eu/a4g/ontology#AllowanceChargeInformation","renamed from epo-ord:PriceModifierInformation","epo-cat:hasPercentage","http://data.europa.eu/a4g/ontology#hasPercentage","","epo-cat:hasPricePercentage","http://data.europa.eu/a4g/ontology#hasPricePercentage","","3.1.0","4.0.0-rc.1"
"epo-ord:AllowanceChargeInformation","http://data.europa.eu/a4g/ontology#AllowanceChargeInformation","renamed from epo-ord:PriceModifierInformation","epo-ful:hasAllowanceChargeReasonDescription","http://data.europa.eu/a4g/ontology#hasAllowanceChargeReasonDescription","","","","","3.1.0","4.0.0-rc.1"
"epo-ord:TaxInformation","http://data.europa.eu/a4g/ontology#TaxInformation","","epo-cat:hasPercentage","http://data.europa.eu/a4g/ontology#hasPercentage","","","","","3.1.0","4.0.0-rc.1"
"epo-ord:TaxInformation","http://data.europa.eu/a4g/ontology#TaxInformation","","dct:description","http://purl.org/dc/terms/description","","","","","3.1.0","4.0.0-rc.1"
"epo-ord:OrderResponse","http://data.europa.eu/a4g/ontology#OrderResponse","","epo-ord:hasResponseDescription","http://data.europa.eu/a4g/ontology#hasResponseDescription","","","","","3.1.0","4.0.0-rc.1"
"cpv:Person","http://data.europa.eu/m8g/Person","","cv:registeredAddress","http://data.europa.eu/m8g/registeredAddress","","","","","3.1.0","4.0.0-rc.1"
"epo:ConcessionEstimate","http://data.europa.eu/a4g/ontology#ConcessionEstimate","","epo:hasConcessionEstimatedValue","http://data.europa.eu/a4g/ontology#hasConcessionEstimatedValue","","","","","3.1.0","4.0.0-rc.1"
"epo:ContractTerm","http://data.europa.eu/a4g/ontology#ContractTerm","","","","","epo:hasContractorLegalFormRequirement","http://data.europa.eu/a4g/ontology#hasContractorLegalFormRequirement","","3.1.0","4.0.0-rc.1"
"epo:ContractTerm","http://data.europa.eu/a4g/ontology#ContractTerm","","epo:hasLegalFormRequirement","http://data.europa.eu/a4g/ontology#hasLegalFormRequirement","","epo:hasContractorLegalFormRequirementDescription","http://data.europa.eu/a4g/ontology#hasContractorLegalFormRequirementDescription","","3.1.0","4.0.0-rc.1"
"epo-ord:DeliveryInformation","http://data.europa.eu/a4g/ontology#DeliveryInformation","","","","","epo-ord:concernsPlaceOfStorage","http://data.europa.eu/a4g/ontology#concernsPlaceOfStorage","","3.1.0","4.0.0-rc.1"
